X,Y,IDEO,nombre,cluster,institucion,Cuenca
434745.56,1150800.05,00638-2014,"CHACHAGUA, PE√ëAS BLANCAS SAN RAMON DE ALAJUELA",1,,
450523.78,1109588.26,01176-2014,"RINCON DE ZARAGOZA DE PALMARES, ALAJUELA",1,,
470122.01,1155842.09,01435-2014,ASADA PITAL,1,,
NA,NA,01445-2014,"LA FORTUNA DE SAN CARLOS, ALAJUELA",1,Aliarse,
384694.28,1186897.42,01545-2014,"BIJAGUA DE UPALA, ALAJUELA",1,Aliarse,
392648.51,1203023.02,01567-2014,"LOS SANTOS DE YOLILLAL DE UPALA, ALAJUELA",1,,
592565.73,1102896.27,01223-2014,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO Y ALCANTARILLADO SANITARIO DEL DISTRITO DE RIO BLANCO,1,,
520956.43,1139891.35,01254-2014,"TERESA TARIRE, SAN BOSCO Y BALASTRE DE LA RITA DE POCOCI, LI",1,Aliarse,
409276.1547,1140354.955,00085-2014,SANTA ELENA DE MONTEVERDE DE PUNTARENAS,1,,
614821.81,932547.27,01911-2014,"BELLA LUZ, NARANJO Y INCENDIO DE LAUREL DE CORREDORES, PUNTA",1,,
536271.6,1020369.74,02460-2014,"ORATORIO Y CONCEPCION DE PLATANARES DE PEREZ ZELEDON, SAN JO",1,Aliarse,
549707.919,1025998.772,04504-2014,"SAN PEDRO DE PEREZ ZELEDON, SAN JOSE",1,Aliarse,
478006.1,1156754.19,01121-2014,"SANTA ISABEL DE RIO CUARTO DE GRECIA, ALAJUELA",1,,
442443.49,1096177.76,01130-2014,"ACUORO (PITAL-CENTENO DE OROTINA), ALAJUELA",1,Aliarse,
436521.82,1158569.9,01406-2014,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO Y ALACANTARILLADO DEK TANQUE LA FORTUNA,1,Aliarse,
469945.64,1144933.44,01430-2014,ACUEDUCTO ADMINISTRADOR DEL AGUA DE VENECIA,1,,
452513.56,1147100.61,04211-2014,ACUEDUCTO ADMINISTRADOR DEL AGUA DE CEDRAL Y DULCE NOMBR√â,1,Aliarse,
462530.56,1147424.84,04219-2014,ASADA AGUAS ZARCAS,1,Aliarse,
509944.95,1099047.7,00673-2014,LLANO GRANDE DE CARTAGO,1,,
345322.25,1223655.59,04396-2014,"SANTA CECILIA DE LA CRUZ, GUANACASTE",1,,
489858.42,1155423.3,01625-2014,ASADA CHILAMATE,1,Aliarse,
504774.42,1143239.58,01633-2014,ASOCIACI√ìN  ADMINISTRADORA  ACUEDUCTO  DISTRITO HORQUETAS,1,Cedarena,RÌo Puerto Viejo
498663.15,1155508.04,01636-2014,ASADA PABLO PRESBERE,1,,
518448.3,1150357.72,01244-2014,"TICABAN DE LA RITA DE POCOCI, LIMON",1,,
548502.29,1120151.43,01302-2014,"HEREDIANA DE GERMANIA DE SIQUIRRES, LIMON",1,Cedarena,RÌo Parismina
618857.38,983829.73,01750-2014,"GUTIERREZ BRAWN DE SAN VITO DE COTO BRUS, PUNTARENAS",1,,
493768.48,1090424.99,00861-2014,"HIGUITO DE SAN MIGUEL DE DESAMPARADOS,SAN JOSE",1,Aliarse,
549631.8,1016386.16,02467-2014,"SAN ANTONIO DE MOLLEJONES DE PEJIBAYE, PEREZ ZELEDON",1,,
NA,NA,04809-2016,ASADA INTEGRADA DISTRITO EL CAIRO DE SIQUIRRES,1,,
485527.03,1150370.21,04943-2017,INTEGRADA SARAPIQUI,1,Aliarse,
447568.75,1164183.95,01475-2014,ASOCIACION ADMINISTRADORA DEL ACUEDUCTO DE BOCA DE ARENAL,1,,
465410.41,1110885.55,04157-2014,"PUENTE DE PIEDRA DE GRECIA, ALAJUELA",1,,
479068.1,1114773.75,04715-2014,SAN ISIDRO DE ALAJUELA,1,Cedarena,RÌo Grande
476911.25,1102815.99,01088-2014,SAN RAFAEL DE OJO DE AGUA ALAJUELA,1,,
410251.94,1180174.34,01603-2014,"SAN RAFAEL DE GUATUSO, ALAJUELA",1,,
400730.07,1191670.81,04234-2014,"BUENA VISTA DE GUATUSO, ALAJUELA",1,,
375817.87,1212246.91,00015-2014,"SAN JOSE (PIZOTE) DE UPALA, ALAJUELA",1,,
437071.26,1141661.93,00434-2014,"VALLE AZUL Y LOS CRIQUES DE PE√ëAS BLANCAS,SAN RAMON ALAJUELA",1,Aliarse,
476467.59,1114026.46,01081-2014,SABANILLA DE ALAJUELA,1,Cedarena,RÌo Grande
