Código;Año;Tipo de denuncia;Recurso afectado;decimalLatitude;decimalLongitude
1;2018;contaminacion;Agua;9,992;-83,029
2;2018;desvio;Agua;10,253;-85,051
3;2018;descarga aguas residuales;Agua;10,013;-84,213
4;2018;obras no autorizadas en cauce;Agua;9,61;-84,628
5;2018;contaminacion;Agua;9,373;-83,704
6;2018;contaminacion;Agua;10,442;-85,551
7;2018;desvio;Agua;10,546;-84,893
8;2018;obras no autorizadas en cauce;Agua;9,166;-83,742
9;2018;desvio;Agua;10,623;-85,443
10;2018;desvio;Agua;10,624;-85,444
11;2018;desvio;Agua;10,405;-85,797
12;2018;obras no autorizadas en cauce;Agua;10,426;-85,091
13;2018;obras no autorizadas en cauce;Agua;9,949;-84,107
14;2018;contaminacion;Agua;9,929;-84,069
15;2018;desvio;Agua;9,915;-84,24
16;2018;contaminacion;Agua;9,424;-84,157
17;2018;contaminacion;Agua;10,473;-84,674
18;2018;obras no autorizadas en cauce;Agua;10,331;-84,455
19;2018;obras no autorizadas en cauce;Agua;9,93;-84,082
20;2018;contaminacion;Agua;9,922;-84,072
21;2018;contaminacion;Agua;9,907;-84,44
22;2018;desvio;Agua;10,538;-83,503
23;2018;obras no autorizadas en cauce;Agua;10,467;-84,968
24;2018;obras no autorizadas en cauce;Agua;9,946;-84,118
25;2018;obras no autorizadas en cauce;Agua;9,931;-84,077
26;2018;contaminacion;Agua;9,926;-84,076
27;2018;contaminacion;Agua;9,973;-84,847
28;2018;desvio;Agua;10,627;-85,439
29;2018;contaminacion;Agua;9,426;-84,16
30;2018;contaminacion;Agua;9,614;-84,631
31;2018;contaminacion;Agua;9,427;-84,114
32;2018;contaminacion;Agua;9,626;-85,154
33;2018;obras no autorizadas en cauce;Agua;10,302;-85,837
34;2018;contaminacion;Agua;10,006;-83,064
35;2018;desvio;Agua;10,468;-84,644
36;2018;obras no autorizadas en cauce;Agua;9,99;-83,034
37;2018;contaminacion;Agua;9,973;-84,841
38;2018;contaminacion;Agua;9,932;-84,072
39;2018;contaminacion;Agua;9,934;-84,963
40;2018;obras no autorizadas en cauce;Agua;9,072;-83,656
41;2018;contaminacion;Agua;9,615;-84,63
