CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"1",9.992,-83.029,Agua,"2018",contaminacion
"0",10.07,-84.309,Forestal,"2019",Tala
"3",10.005,-84.177,Suelos,"2019",contaminacion
"1",10.253,-85.051,Agua,"2018",desvio 
"1",10.013,-84.213,Agua,"2018",descarga aguas residuales
"3",9.973,-84.848,Suelos,"2019",erosion
"1",9.61,-84.628,Agua,"2018",obras no autorizadas en cauce
"4",10.527,-85.781,Mineria,"2019",extraccion tajo
"2",9.253,-83.864,Vida silvestre,"2018",caceria
"3",9.628,-82.661,Suelos,"2019",quema 
"0",9.972,-85.685,Forestal,"2019",Incendio 
"1",9.373,-83.704,Agua,"2018",contaminacion
"4",9.607,-84.62,Mineria,"2019",extraccion tajo
"3",9.902,-84.425,Suelos,"2019",movimiento 
"3",9.932,-84.091,Suelos,"2019",contaminacion
"1",10.442,-85.551,Agua ,"2018",contaminacion
"3",9.995,-84.116,Suelos,"2019",quema 
"4",9.936,-84.077,Mineria,"2019",extraccion tajo
"0",9.658,-85.058,Forestal ,"2019",Invasion ASP
"0",9.934,-84.065,Forestal ,"2019",Invasion ASP 
"2",8.647,-82.942,Vida silvestre,"2018",tenencia ilegal
"0",9.932,-84.068,Forestal ,"2019",Anillado arboles
"0",10.574,-85.676,Forestal ,"2019",Tala 
"0",9.93,-84.07,Forestal ,"2019",Invasion ASP
"0",9.936,-84.066,Forestal ,"2019",Anillado arboles
"2",9.391,-84.152,Vida silvestre,"2018",comercio 
"0",9.815,-85.332,Forestal ,"2019",Incendio 
"3",10.462,-84.643,Suelos,"2019",movimiento 
"0",10.475,-84.689,Forestal ,"2019",Anillado arboles
"0",10.459,-84.693,Forestal ,"2019",Anillado arboles
"5",10.505,-84.607,Contaminacion aire ,"2019",mal olor
"3",10.459,-84.741,Suelos,"2019",movimiento 
"4",10.499,-84.693,Mineria,"2019",extraccion tajo 
"3",10.499,-84.694,Suelos,"2019",quema 
"0",9.612,-84.631,Forestal ,"2019",Anillado arboles
"3",10.497,-84.689,Suelos,"2019",contaminacion
"2",10.468,-84.645,Vida silvestre,"2018",caceria
"2",10.471,-84.672,Vida silvestre,"2018",caceria
"4",10.484,-84.686,Mineria,"2019",sedimentacion cuerpo agua
"2",10.432,-84.735,Vida silvestre,"2018",caceria
"3",10.49,-84.687,Suelos,"2019",contaminacion
"4",9.395,-84.155,Mineria,"2019",sedimentacion cuerpo agua
"0",9.333,-83.503,Forestal ,"2019",Invasion ASP 
"0",10.574,-85.675,Forestal ,"2019",Incendio 
"0",9.735,-82.842,Forestal ,"2019",Incendio 
