CATEGORIA_,decimalLat,decimalLon,TIPO_den,año,TIPO_inf,Provincia
"1",9.992000000000001,-83.028999999999996,Agua,"2018",contaminacion,Limón
"0",10.070000000000000,-84.308999999999997,Forestal,"2019",Tala,Alajuela
"3",10.005000000000001,-84.177000000000007,Suelos,"2019",contaminacion,Heredia
"1",10.253000000000000,-85.051000000000002,Agua,"2018",desvio,Guanacaste
"1",10.013000000000000,-84.212999999999994,Agua,"2018",descarga aguas residuales,Alajuela
"3",9.973000000000001,-84.847999999999999,Suelos,"2019",erosion,Puntarenas
"1",9.609999999999999,-84.628000000000000,Agua,"2018",obras no autorizadas en cauce,Puntarenas
"4",10.526999999999999,-85.781000000000006,Mineria,"2019",extraccion tajo,Guanacaste
"2",9.253000000000000,-83.864000000000004,Vida silvestre,"2018",caceria,Puntarenas
"3",9.628000000000000,-82.661000000000001,Suelos,"2019",quema,Limón
"0",9.972000000000000,-85.685000000000002,Forestal,"2019",Incendio,Guanacaste
"1",9.372999999999999,-83.703999999999994,Agua,"2018",contaminacion,San José
"4",9.606999999999999,-84.620000000000005,Mineria,"2019",extraccion tajo,Puntarenas
"3",9.901999999999999,-84.424999999999997,Suelos,"2019",movimiento,San José
"3",9.932000000000000,-84.090999999999994,Suelos,"2019",contaminacion,San José
"1",10.442000000000000,-85.551000000000002,Agua,"2018",contaminacion,Guanacaste
"3",9.994999999999999,-84.116000000000000,Suelos,"2019",quema,Heredia
"4",9.936000000000000,-84.076999999999998,Mineria,"2019",extraccion tajo,San José
"0",9.657999999999999,-85.058000000000007,Forestal,"2019",Invasion ASP,Puntarenas
"0",9.933999999999999,-84.064999999999998,Forestal,"2019",Invasion ASP,San José
"2",8.647000000000000,-82.941999999999993,Vida silvestre,"2018",tenencia ilegal,Puntarenas
"0",9.932000000000000,-84.067999999999998,Forestal,"2019",Anillado arboles,San José
"0",10.574000000000000,-85.676000000000002,Forestal,"2019",Tala,Guanacaste
"0",9.930000000000000,-84.069999999999993,Forestal,"2019",Invasion ASP,San José
"0",9.936000000000000,-84.066000000000003,Forestal,"2019",Anillado arboles,San José
"2",9.391000000000000,-84.152000000000001,Vida silvestre,"2018",comercio,Puntarenas
"0",9.815000000000000,-85.331999999999994,Forestal,"2019",Incendio,Guanacaste
"3",10.462000000000000,-84.643000000000001,Suelos,"2019",movimiento,Alajuela
"0",10.475000000000000,-84.688999999999993,Forestal,"2019",Anillado arboles,Alajuela
"0",10.459000000000000,-84.692999999999998,Forestal,"2019",Anillado arboles,Alajuela
"5",10.505000000000001,-84.606999999999999,Contaminacion aire,"2019",mal olor,Alajuela
"3",10.459000000000000,-84.741000000000000,Suelos,"2019",movimiento,Alajuela
"4",10.499000000000001,-84.692999999999998,Mineria,"2019",extraccion tajo,Alajuela
"3",10.499000000000001,-84.694000000000003,Suelos,"2019",quema,Alajuela
"0",9.612000000000000,-84.631000000000000,Forestal,"2019",Anillado arboles,Puntarenas
"3",10.497000000000000,-84.688999999999993,Suelos,"2019",contaminacion,Alajuela
"2",10.468000000000000,-84.644999999999996,Vida silvestre,"2018",caceria,Alajuela
"2",10.471000000000000,-84.671999999999997,Vida silvestre,"2018",caceria,Alajuela
"4",10.484000000000000,-84.686000000000007,Mineria,"2019",sedimentacion cuerpo agua,Alajuela
"2",10.432000000000000,-84.734999999999999,Vida silvestre,"2018",caceria,Alajuela
"3",10.490000000000000,-84.686999999999998,Suelos,"2019",contaminacion,Alajuela
"4",9.395000000000000,-84.155000000000001,Mineria,"2019",sedimentacion cuerpo agua,Puntarenas
"0",9.333000000000000,-83.503000000000000,Forestal,"2019",Invasion ASP,San José
"0",10.574000000000000,-85.674999999999997,Forestal,"2019",Incendio,Guanacaste
"0",9.734999999999999,-82.841999999999999,Forestal,"2019",Incendio,Limón
"5",9.933999999999999,-84.075999999999993,Contaminacion aire,"2019",humo,San José
"1",10.545999999999999,-84.893000000000001,Agua,"2018",desvio,Guanacaste
"3",9.932000000000000,-84.055000000000007,Suelos,"2019",contaminacion,San José
"1",9.166000000000000,-83.742000000000004,Agua,"2018",obras no autorizadas en cauce,Puntarenas
"0",8.535000000000000,-83.307000000000002,Forestal,"2019",Invasion ASP,Puntarenas
"0",9.960000000000001,-84.132999999999996,Forestal,"2019",Anillado arboles,San José
"0",9.715000000000000,-85.016999999999996,Forestal,"2019",Anillado arboles,Puntarenas
"0",10.387000000000000,-85.835999999999999,Forestal,"2019",Invasion ASP,Guanacaste
"4",10.443000000000000,-85.772999999999996,Mineria,"2019",sedimentacion cuerpo agua,Guanacaste
"0",10.428000000000001,-85.790999999999997,Forestal,"2019",Tala,Guanacaste
"3",10.387000000000000,-85.835999999999999,Suelos,"2019",erosion,Guanacaste
"4",10.541000000000000,-85.727999999999994,Mineria,"2019",extraccion tajo,Guanacaste
"2",9.613000000000000,-84.629999999999995,Vida silvestre,"2018",tenencia ilegal,Puntarenas
"4",9.930999999999999,-84.075000000000003,Mineria,"2019",extraccion materiales cauce,San José
"0",9.379000000000000,-84.143000000000001,Forestal,"2019",Incendio,Puntarenas
"4",9.936999999999999,-84.102000000000004,Mineria,"2019",extraccion materiales cauce,San José
"4",10.273000000000000,-85.847999999999999,Mineria,"2019",extraccion materiales cauce,Guanacaste
"5",9.715999999999999,-85.018000000000001,Contaminacion aire,"2019",emision particulas,Puntarenas
"5",9.962000000000000,-84.131000000000000,Contaminacion aire,"2019",mal olor,San José
"3",10.292999999999999,-84.804000000000002,Suelos,"2019",movimiento,Puntarenas
