NOMBRE,TELEFONO,FAX,DIRECCION,HABITACION,PAG_INTERN,CATEGORIA_,CORREO,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
ACON,2758-1010 / 2758-4099,2758-2924,"AVENIDA 3, CALLE 3 100 M ESTE DEL MERCADO CENTRAL","39",ND,"1",ND,9.992,-83.029,Agua,"2018",
AEROMUNDO,2494-0094,2494-6060,100 M ESTE DEL BANCO COSTA RICA,"9",www.hotelaeromundo.com,"0",info@hotelaeromundo.com,10.07,-84.309,Forestal,"2019",Tala
AEROPUERTO,2433-7333 / 2433-7352,2433-7933,4 KM OESTE DEL AEROPUERTO JUAN SANTAMARIA,"24",hotelaeropuerto.co.cr,"3",info@hotelaeropuerto.co.cr,10.005,-84.177,Suelos,"2019",
AGROTURISMO BRISAS DEL LAGO,2200-0079 / 2638-1228,2638-1228,LA PALMITA  ABANGARES HACIENDA LA TRAMPA,"6",ND,"1",ND,10.253,-85.051,Agua,"2018",
ALAJUELA,2441-1441 / 2441-6595,2441-7912,"25 M SUR DEL PARQUE DE ALAJUELA, COSTADO SURESTE","28",www.hotelalajuela.com,"1",ND,10.013,-84.213,Agua,"2018",
ALAMAR,2661-4343,2661-2726,AL FINAL DEL PASEO DE LOS TURISTAS,"30",www.alamarcr.com,"3",ND,9.973,-84.848,Suelos,"2019",
ALICE,2643-3061,2643-4107,"100 M SUR Y 50 M OESTE DE LA CRUZ ROJA, PLAYA JACO","29",ND,"1",ND,9.61,-84.628,Agua,"2018",
ALLEGRO RESORT PAPAGAYO,2690-9900 / 2690-9910,2690-9911,"PLAYA MANZANILLO, BAHIA CULEBRA","300",www.occidental-hoteles.com,"4",ND,10.527,-85.781,Mineria,"2019",
ALMA DE HATILLO,8850-9034,ND,"300 M SUR DE HATILLO BRIDGE, PUNTARENAS SUR","10",www.cabinasalma.com,"2",info@cabinasalma.com.,9.253,-83.864,Vida silvestre,"2018",
ALMENDROS Y CORALES,2759-9032 / 2271-3000,2272-2220,"2 KM ANTES DE MANZANILLO, 14 KM SUR DE PUERTO VIEJO DE LIMON","24",www.almondsandcorals.com/hotel.html,"3",ND,9.628,-82.661,Suelos,"2019",
ALMOST PARADISE,2682-0171,2682-0173,PLAYA NOSARA,"0",ND,"0",ND,9.972,-85.685,Forestal,"2019",Incendio 
AMANELI,2771-0352,2771-0352,SAN ISIDRO DE PEREZ ZELEDON,"0",ND,"1",ND,9.373,-83.704,Agua,"2018",
AMAPOLA,2643-2255,2643 3668,150 M ESTE DE LA MUNICIPALIDAD DE JACO,"53",www.hotelamapola.com,"4",ND,9.607,-84.62,Mineria,"2019",
AMATIERRA,2419-0110,2419-0094,2 KM ESTE DE LA IGLESIA DE SAN PABLO,"10",www.amatierra.com/contact.html,"3",info@amatierra.com,9.902,-84.425,Suelos,"2019",
AMBASSADOR,2221-8155 / 2221-8205,2255-3396,"PASEO COLON, CALLES 26 Y 28 FRENTE PIZZA HUT","74",www.hotelambassador.co.cr,"3",info@hotelambassador.co.cr,9.932,-84.091,Suelos,"2019",
AMELIA,2688-8087 / 2688-8172,2688-8172,FILADELFIA CENTRO,"19",ND,"1",ND,10.442,-85.551,Agua ,"2018",
AMERICA,2260-9292 / 2262-2627,2260-92-93,"AVENIDA 2 Y 4, CALLE 0 DE LA IGLESIA INMACULADA 50 M SUR","40",www.hotelamericacr.com,"3",ND,9.995,-84.116,Suelos,"2019",
AMON PLAZA CLARION,2523-4600,2523-4614,"AVENIDA 11, CALLE 3 BIS","87",http://www.hotelamonplaza.com/,"4",info@clarionhotel.com,9.936,-84.077,Mineria,"2019",
AMOR DE MAR,2642-0262,ND,MONTEZUMA COBANO,"11",http://amordemar.com/rooms.htm,"0",info@amordemar.com,9.658,-85.058,Forestal ,"2019",Invasion ASP
AMSTEL S.A,ND,ND,,"0",ND,"0",ND,9.934,-84.065,Forestal ,"2019",Invasion ASP 
ANDREA,2783-3784 / 2783-1050,2783-3715,"ENFRENTE DE LAS OFICINAS DEL ICE, CUIDAD NEILY","50",ND,"2",ND,8.647,-82.942,Vida silvestre,"2018",
ANGELS,2258-8273,ND,BARRIO LA CALIFORNIA,"0",ND,"0",ND,9.932,-84.068,Forestal ,"2019",Anillado arboles
AQUA SPORT,2672-0052,2672-0060,SEGUNDA ENTRADA PLAYA HERMOSA CARRILLO,"0",ND,"0",ND,10.574,-85.676,Forestal ,"2019",Tala 
ARA MACAO S.A,2257-6228,ND,CATEDRAL C 25 A 1,"0",ND,"0",ND,9.93,-84.07,Forestal ,"2019",Invasion ASP
ARANJUEZ S.A,2256-1825,ND,,"0",ND,"0",ND,9.936,-84.066,Forestal ,"2019",Anillado arboles
ARBOLEDA,2777-0092 / 2777-1056,2777-0092,6 KM DE QUEPOS CENTRO,"28",www.hotel-arboleda.com,"2",ND,9.391,-84.152,Vida silvestre,"2018",
