Agua;Aire;Forestal;Suelo;Vida silvestre;Mineria;anio;decimalLatitude;decimalLongitude;Tipo
1;0;0;0;0;0;2018;9,992;-83,029;contaminacion
1;0;0;0;0;0;2018;10,253;-85,051;desvio
1;0;0;0;0;0;2018;10,013;-84,213;descarga aguas residuales
1;0;0;0;0;0;2018;9,61;-84,628;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,373;-83,704;contaminacion
1;0;0;0;0;0;2018;10,442;-85,551;contaminacion
1;0;0;0;0;0;2018;10,546;-84,893;desvio
1;0;0;0;0;0;2018;9,166;-83,742;obras no autorizadas en cauce
1;0;0;0;0;0;2018;10,623;-85,443;desvio
1;0;0;0;0;0;2018;10,624;-85,444;desvio
1;0;0;0;0;0;2018;10,405;-85,797;desvio
1;0;0;0;0;0;2018;10,426;-85,091;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,949;-84,107;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,929;-84,069;contaminacion
1;0;0;0;0;0;2018;9,915;-84,24;desvio
1;0;0;0;0;0;2018;9,424;-84,157;contaminacion
1;0;0;0;0;0;2018;10,473;-84,674;contaminacion
1;0;0;0;0;0;2018;10,331;-84,455;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,93;-84,082;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,922;-84,072;contaminacion
1;0;0;0;0;0;2018;9,907;-84,44;contaminacion
1;0;0;0;0;0;2018;10,538;-83,503;desvio
1;0;0;0;0;0;2018;10,467;-84,968;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,946;-84,118;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,931;-84,077;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,926;-84,076;contaminacion
1;0;0;0;0;0;2018;9,973;-84,847;contaminacion
1;0;0;0;0;0;2018;10,627;-85,439;desvio
1;0;0;0;0;0;2018;9,426;-84,16;contaminacion
1;0;0;0;0;0;2018;9,614;-84,631;contaminacion
1;0;0;0;0;0;2018;9,427;-84,114;contaminacion
1;0;0;0;0;0;2018;9,626;-85,154;contaminacion
1;0;0;0;0;0;2018;10,302;-85,837;obras no autorizadas en cauce
1;0;0;0;0;0;2018;10,006;-83,064;contaminacion
1;0;0;0;0;0;2018;10,468;-84,644;desvio
1;0;0;0;0;0;2018;9,99;-83,034;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,973;-84,841;contaminacion
1;0;0;0;0;0;2018;9,932;-84,072;contaminacion
1;0;0;0;0;0;2018;9,934;-84,963;contaminacion
1;0;0;0;0;0;2018;9,072;-83,656;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,615;-84,63;contaminacion
1;0;0;0;0;0;2018;10,568;-85,681;contaminacion
1;0;0;0;0;0;2018;10,307;-85,827;contaminacion
1;0;0;0;0;0;2018;9,96;-85,678;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,931;-84,08;obras no autorizadas en cauce
1;0;0;0;0;0;2018;8,643;-82,945;contaminacion
1;0;0;0;0;0;2018;9,903;-83,683;obras no autorizadas en cauce
1;0;0;0;0;0;2018;9,935;-84,077;desvio
1;0;0;0;0;0;2019;9,96;-84,613;contaminacion
1;0;0;0;0;0;2019;9,997;-84,118;contaminacion
1;0;0;0;0;0;2019;9,374;-83,705;descarga aguas residuales
1;0;0;0;0;0;2019;9,933;-84,086;contaminacion
1;0;0;0;0;0;2019;9,453;-84,176;contaminacion
1;0;0;0;0;0;2019;8,846;-82,965;obras no autorizadas en cauce
1;0;0;0;0;0;2019;10,625;-85,437;contaminacion
1;0;0;0;0;0;2019;9,96;-84,08;descarga aguas residuales
1;0;0;0;0;0;2019;9,932;-84,08;desvio
1;0;0;0;0;0;2019;10,258;-85,583;obras no autorizadas en cauce
1;0;0;0;0;0;2019;9,251;-83,864;contaminacion
1;0;0;0;0;0;2019;9,519;-84,321;obras no autorizadas en cauce
1;0;0;0;0;0;2019;9,93;-84,083;contaminacion
1;0;0;0;0;0;2019;9,717;-85,018;contaminacion
1;0;0;0;0;0;2019;10,318;-84,431;desvio
1;0;0;0;0;0;2019;9,518;-84,436;contaminacion
1;0;0;0;0;0;2019;10,03;-84,206;contaminacion
1;0;0;0;0;0;2019;11,024;-84,707;contaminacion
1;0;0;0;0;0;2019;10,072;-84,243;contaminacion
1;0;0;0;0;0;2019;10,453;-84,005;desvio
1;0;0;0;0;0;2019;9,96;-85,678;contaminacion
1;0;0;0;0;0;2019;10,372;-84,341;contaminacion
1;0;0;0;0;0;2019;10,47;-84,646;obras no autorizadas en cauce
1;0;0;0;0;0;2019;9,352;-83,689;contaminacion
1;0;0;0;0;0;2019;9,978;-84,774;contaminacion
1;0;0;0;0;0;2019;9,929;-84,07;obras no autorizadas en cauce
1;0;0;0;0;0;2019;9,426;-84,16;contaminacion
1;0;0;0;0;0;2019;9,958;-84,08;obras no autorizadas en cauce
1;0;0;0;0;0;2019;10,148;-85,806;desvio
1;0;0;0;0;0;2019;8,958;-83,455;contaminacion
1;0;0;0;0;0;2019;10,03;-84,225;contaminacion
1;0;0;0;0;0;2019;10,896;-85,014;obras no autorizadas en cauce
1;0;0;0;0;0;2019;9,422;-84,166;contaminacion
1;0;0;0;0;0;2019;10,334;-85,848;desvio
1;0;0;0;0;0;2019;9,689;-85,099;desvio
1;0;0;0;0;0;2019;10,573;-85,673;obras no autorizadas en cauce
1;0;0;0;0;0;2019;10,029;-84,012;desvio
0;1;0;0;0;0;2019;10,505;-84,607;mal olor
0;1;0;0;0;0;2019;9,934;-84,076;humo
0;1;0;0;0;0;2019;9,716;-85,018;emision particulas
0;1;0;0;0;0;2019;9,962;-84,131;mal olor
0;1;0;0;0;0;2019;9,973;-84,159;mal olor
0;1;0;0;0;0;2019;9,976;-84,161;emision particulas
0;1;0;0;0;0;2019;9,916;-84,562;emision particulas
0;1;0;0;0;0;2019;9,405;-84,157;mal olor
